Price,CurrencyIso,TimeOfChange,Url
"399,00",EUR,2025-04-25T15:21:35.015918,https://www.backmarket.de/de-de/p/acer-a515-52-15-i3-8145u-21-ghz-hdd-128-gb-4gb/03b6897c-d545-4495-a809-f66e76df5697
"449,00",EUR,2025-04-25T15:21:51.307726,https://www.backmarket.de/de-de/p/acer-aspire-3-a314-23p-r1ch-14-ryzen-5-28-ghz-ssd-512-gb-16gb-azerty-franzosisch/fe948403-5269-4435-ac47-db9b3ca31708
"434,00",EUR,2025-04-25T15:22:10.153749,https://www.backmarket.de/de-de/p/acer-aspire-3-a315-21-418f-15-a4-22-ghz-hdd-1-tb-8gb-azerty-franzosisch/49cf72f2-84d7-4204-b272-f0c9b06dae2c
"449,00",EUR,2025-04-25T15:23:33.078235,https://www.backmarket.de/de-de/p/acer-aspire-3-a315-51-15-core-i3-23-ghz-ssd-128-gb-4gb-azerty-franzosisch/148f15c1-a930-4813-9e9c-3d0f49f4dfd4
"567,00",EUR,2025-04-25T15:24:06.517068,https://www.backmarket.de/de-de/p/acer-aspire-3-a315-58-37nx-15-core-i3-3-ghz-ssd-512-gb-8gb-azerty-franzosisch/baaa0af9-3043-4459-a0b5-6f7403951e12
"449,00",EUR,2025-04-25T15:24:23.912176,https://www.backmarket.de/de-de/p/acer-aspire-3-n20c5-15-core-i3-3-ghz-ssd-256-gb-8gb-azerty-franzosisch/ecc3fa03-def0-45ab-adfa-5e3e409585d4
"470,00",EUR,2025-04-25T15:24:43.461198,https://www.backmarket.de/de-de/p/acer-aspire-3-n20c6-17-core-i3-3-ghz-ssd-512-gb-8gb-azerty-franzosisch/0ca1ce77-078e-4fc0-a8b4-d5f66d715454
"649,00",EUR,2025-04-25T15:25:45.429833,https://www.backmarket.de/de-de/p/acer-aspire-5-a515-55-7735-15-core-i7-13-ghz-ssd-256-gb-hdd-1-tb-16gb-azerty-franzosisch/81b0973e-7b26-4960-9ddf-b9278c6fd490
"666,00",EUR,2025-04-25T15:26:04.539700,https://www.backmarket.de/de-de/p/acer-aspire-5-a515-56-32r1-15-core-i3-3-ghz-ssd-256-gb-8gb-qwerty-skandinavisch/24ba40bf-dc9a-4a57-a77c-84d27b79ab56
"425,00",EUR,2025-04-25T15:26:25.240500,https://www.backmarket.de/de-de/p/acer-aspire-a314-22-14-ryzen-3-26-ghz-ssd-256-gb-8gb-qwerty-spanisch/73174ec3-23fb-41fa-9015-7774ec7675d0
"270,00",EUR,2025-04-25T15:26:43.788668,https://www.backmarket.de/de-de/p/acer-aspire-a315-34-p938-15-pentium-silver-11-ghz-ssd-128-gb-hdd-1-tb-8gb-azerty-franzosisch/677af866-c1ad-4ed9-9205-5760d06c6467
"440,00",EUR,2025-04-25T15:27:03.036034,https://www.backmarket.de/de-de/p/acer-aspire-a315-51-39x3-15-core-i3-2-ghz-hdd-500-gb-4gb-azerty-franzosisch/23881239-6ec9-48ff-be9a-a140ccd47320
"220,00",EUR,2025-04-25T15:27:44.385062,https://www.backmarket.de/de-de/p/acer-aspire-e5-475-38xl-14-core-i3-2-ghz-ssd-128-gb-hdd-1-tb-4gb-azerty-franzosisch/5bd3a115-a86a-4819-83b7-176609d96ba0
"299,00",EUR,2025-04-25T15:28:04.643695,https://www.backmarket.de/de-de/p/acer-aspire-e5-573-15-pentium-17-ghz-hdd-1-tb-6gb-azerty-franzosisch/a564fe13-4016-43f8-9a37-94fd50c95e8b
"319,00",EUR,2025-04-25T15:28:25.033270,https://www.backmarket.de/de-de/p/acer-aspire-vn7-592g-57nq-15-core-i5-23-ghz-ssd-512-gb-hdd-1-tb-8gb-azerty-franzosisch/4460ff41-5c74-4dcc-8925-93927735a1c0
"199,00",EUR,2025-04-25T15:29:34.015757,https://www.backmarket.de/de-de/p/acer-chromebook-cb314-1h-p9x6-pentium-11-ghz-64gb-emmc-8gb-azerty-franzosisch/04c26e0b-4080-49eb-aa3a-7c8e2d35b9e0
"280,00",EUR,2025-04-25T15:30:17.790733,https://www.backmarket.de/de-de/p/acer-chromebook-cp311-3h-k4d9-mt-2-ghz-32gb-emmc-4gb-azerty-franzosisch/c118f206-ed96-417b-a177-11e1c1fe103f
"132,99",EUR,2025-04-25T15:30:54.274509,https://www.backmarket.de/de-de/p/acer-chromebook-spin-11-r751t-celeron-11-ghz-32gb-emmc-4gb-azerty-franzosisch/9c9a07e7-b3cd-4ecf-9289-703544288090
"132,99",EUR,2025-04-25T15:31:14.193240,https://www.backmarket.de/de-de/p/acer-chromebook-spin-11-r751t-celeron-11-ghz-32gb-emmc-4gb-qwertz-deutsch/3c8c2d9a-3295-4492-9416-07123b832ab0
"132,99",EUR,2025-04-25T15:32:09.039115,https://www.backmarket.de/de-de/p/acer-chromebook-spin-511-r752t-celeron-11-ghz-32gb-emmc-4gb-qwerty-spanisch/97853bed-5b02-433a-84c8-3d8685740029
"113,99",EUR,2025-04-25T15:33:24.908239,https://www.backmarket.de/de-de/p/acer-chromebook-spin-512-celeron-11-ghz-32gb-emmc-4gb-qwerty-spanisch/a7afbb3e-4d86-4258-ae6f-4d734c339c92
"189,00",EUR,2025-04-25T15:34:00.113102,https://www.backmarket.de/de-de/p/acer-chromebook-spin-512-pentium-silver-11-ghz-64gb-ssd-8gb-qwerty-englisch/705eca1a-6d97-4726-ab2b-01a7f7ca718b
"132,99",EUR,2025-04-25T15:35:14.220382,https://www.backmarket.de/de-de/p/acer-chromebook-spin-r751tn-celeron-11-ghz-32gb-emmc-4gb-qwerty-schwedisch/6dc2095f-4ddd-4421-bc17-c93bd8f9cf55
"399,00",EUR,2025-04-25T15:36:08.516152,https://www.backmarket.de/de-de/p/acer-extensa-ex2511-32as-15-core-i3-2-ghz-hdd-500-gb-4gb/747ac5da-a1fe-44b2-8064-dfbc38464aaa
"2.218,00",EUR,2025-04-25T15:36:43.694024,https://www.backmarket.de/de-de/p/acer-nitro-16-16-ryzen-9-4-ghz-ssd-1000-gb-16gb-nvidia-geforce-rtx-4060-8gb-qwerty-italienisch/4f79637a-5f47-4060-9ae9-6afac9a4b7e7
"1.090,80",EUR,2025-04-25T15:37:35.934266,https://www.backmarket.de/de-de/p/acer-nitro-5-an515-55-57wu-15-core-i5-25-ghz-ssd-1-tb-16gb-nvidia-geforce-rtx-3060-azerty-franzosisch/b6603295-6462-48c3-9d7a-2c9e0e1aad32
"972,00",EUR,2025-04-25T15:37:55.602477,https://www.backmarket.de/de-de/p/acer-nitro-5-an515-57-5194-processeur-intel-core-i5-11400h-22-ghz-ssd-512-gb-16-gb-nvidia-geforce-rtx-3050/7bb34982-36c0-4cd6-afe9-847b34157069
"1.199,00",EUR,2025-04-25T15:38:37.508480,https://www.backmarket.de/de-de/p/acer-nitro-5-an515-58-7290-15-49-ghz-512-gb-ssd-16gb-rtx-4060-azerty-franzosisch/89c6b413-2029-4311-a5db-9bc0887b2a48
